Location,Date,Temperature,Weather Description,Humidity,Wind Speed,Date_Only
Norwich,2025-03-23 09:00:00,11.21,overcast clouds,82,2.56,2025-03-23
Norwich,2025-03-23 12:00:00,13.32,overcast clouds,74,2.57,2025-03-23
Norwich,2025-03-23 15:00:00,13.31,overcast clouds,74,3.07,2025-03-23
Norwich,2025-03-23 18:00:00,9.82,overcast clouds,88,3.3,2025-03-23
Norwich,2025-03-23 21:00:00,8.02,overcast clouds,93,3.05,2025-03-23
Norwich,2025-03-24 00:00:00,8.22,overcast clouds,91,3.01,2025-03-24
Norwich,2025-03-24 03:00:00,7.36,overcast clouds,89,3.44,2025-03-24
Norwich,2025-03-24 06:00:00,6.07,overcast clouds,94,3.9,2025-03-24
Norwich,2025-03-24 09:00:00,9.35,broken clouds,76,5.81,2025-03-24
Norwich,2025-03-24 12:00:00,10.51,broken clouds,68,5.94,2025-03-24
Norwich,2025-03-24 15:00:00,8.64,broken clouds,71,6.2,2025-03-24
Norwich,2025-03-24 18:00:00,6.8,broken clouds,68,5.64,2025-03-24
Norwich,2025-03-24 21:00:00,6.8,overcast clouds,66,4.35,2025-03-24
Norwich,2025-03-25 00:00:00,6.57,overcast clouds,70,3.01,2025-03-25
Norwich,2025-03-25 03:00:00,6.13,overcast clouds,81,2.41,2025-03-25
Norwich,2025-03-25 06:00:00,5.61,overcast clouds,85,1.85,2025-03-25
Norwich,2025-03-25 09:00:00,8.11,broken clouds,67,2.16,2025-03-25
Norwich,2025-03-25 12:00:00,11.49,broken clouds,53,1.4,2025-03-25
Stonehenge,2025-03-20 15:00:00,17.04,few clouds,57,5.97,2025-03-20
Stonehenge,2025-03-20 18:00:00,12.8,few clouds,75,4.19,2025-03-20
Stonehenge,2025-03-20 21:00:00,8.91,broken clouds,90,4.93,2025-03-20
Stonehenge,2025-03-21 00:00:00,8.52,overcast clouds,95,4.13,2025-03-21
Stonehenge,2025-03-21 03:00:00,8.67,overcast clouds,92,3.82,2025-03-21
Stonehenge,2025-03-21 06:00:00,9.1,overcast clouds,89,4.23,2025-03-21
Stonehenge,2025-03-21 09:00:00,11.04,overcast clouds,85,6.84,2025-03-21
Stonehenge,2025-03-21 12:00:00,13.89,overcast clouds,75,7.28,2025-03-21
Stonehenge,2025-03-21 15:00:00,13.56,overcast clouds,77,6.82,2025-03-21
Stonehenge,2025-03-21 18:00:00,11.41,light rain,89,5.99,2025-03-21
Stonehenge,2025-03-21 21:00:00,10.32,light rain,99,3.93,2025-03-21
Stonehenge,2025-03-22 00:00:00,10.35,light rain,98,5.47,2025-03-22
Stonehenge,2025-03-22 03:00:00,9.65,light rain,98,4.78,2025-03-22
Stonehenge,2025-03-22 06:00:00,7.77,overcast clouds,98,2.84,2025-03-22
Stonehenge,2025-03-22 09:00:00,10.79,broken clouds,88,4.45,2025-03-22
Stonehenge,2025-03-22 12:00:00,13.29,overcast clouds,74,4.69,2025-03-22
Stonehenge,2025-03-22 15:00:00,13.8,broken clouds,69,4.43,2025-03-22
Stonehenge,2025-03-22 18:00:00,9.98,broken clouds,90,2.68,2025-03-22
Stonehenge,2025-03-22 21:00:00,7.09,broken clouds,95,1.69,2025-03-22
Stonehenge,2025-03-23 00:00:00,6.57,broken clouds,94,0.76,2025-03-23
Stonehenge,2025-03-23 03:00:00,6.27,broken clouds,95,1.89,2025-03-23
Stonehenge,2025-03-23 06:00:00,6.23,broken clouds,96,2.92,2025-03-23
Stonehenge,2025-03-23 09:00:00,10.61,overcast clouds,87,5.48,2025-03-23
Stonehenge,2025-03-23 12:00:00,12.46,overcast clouds,85,4.72,2025-03-23
Stonehenge,2025-03-23 15:00:00,12.51,light rain,86,3.52,2025-03-23
Stonehenge,2025-03-23 18:00:00,11.02,light rain,90,2.25,2025-03-23
Stonehenge,2025-03-23 21:00:00,10.06,light rain,93,1.09,2025-03-23
Stonehenge,2025-03-24 00:00:00,8.77,overcast clouds,97,2.06,2025-03-24
Stonehenge,2025-03-24 03:00:00,7.56,broken clouds,96,2.75,2025-03-24
Stonehenge,2025-03-24 06:00:00,8.09,light rain,97,3.52,2025-03-24
Stonehenge,2025-03-24 09:00:00,8.37,light rain,94,3.69,2025-03-24
Stonehenge,2025-03-24 12:00:00,10.95,overcast clouds,81,3.97,2025-03-24
Stonehenge,2025-03-24 15:00:00,8.34,overcast clouds,90,3.55,2025-03-24
Stonehenge,2025-03-24 18:00:00,8.65,light rain,86,3.64,2025-03-24
Stonehenge,2025-03-24 21:00:00,7.78,overcast clouds,85,1.77,2025-03-24
Stonehenge,2025-03-25 00:00:00,6.89,overcast clouds,84,1.77,2025-03-25
Stonehenge,2025-03-25 03:00:00,3.75,clear sky,87,0.48,2025-03-25
Stonehenge,2025-03-25 06:00:00,3.13,few clouds,88,0.81,2025-03-25
Stonehenge,2025-03-25 09:00:00,7.63,overcast clouds,83,1.96,2025-03-25
Stonehenge,2025-03-25 12:00:00,10.64,overcast clouds,78,3.78,2025-03-25
Watergate Bay,2025-03-20 15:00:00,15.15,scattered clouds,69,10.69,2025-03-20
Watergate Bay,2025-03-20 18:00:00,13.2,scattered clouds,77,10.25,2025-03-20
Watergate Bay,2025-03-20 21:00:00,11.34,overcast clouds,89,9.85,2025-03-20
Watergate Bay,2025-03-21 00:00:00,11.12,light rain,93,8.21,2025-03-21
Watergate Bay,2025-03-21 03:00:00,10.59,overcast clouds,96,7.21,2025-03-21
Watergate Bay,2025-03-21 06:00:00,10.65,light rain,95,8.17,2025-03-21
Watergate Bay,2025-03-21 09:00:00,11.21,light rain,93,7.06,2025-03-21
